序号,门店名称,12月1日,12月2日,12月3日,12月4日,12月5日,12月6日,12月7日,12月8日,12月9日,12月10日,12月11日,12月12日,12月13日,12月14日,12月15日,12月16日,12月17日,12月18日,12月19日,12月20日,12月21日,12月22日,12月23日,12月24日,12月25日,12月26日,12月27日,12月28日,12月29日,12月30日,12月31日
1,受气牛肉巴南万达店,5,5,4,5.5,4,4,4,4,4.5,6,4,4,4,3,0,0,0,3,4,4,5,4,5,5,5,4,4,4,4,5,6
2,受气牛肉望京店,4,4,4,4,4,6,7,7,8.5,7,6,6,5,5,5,5,6,6,5,5.5,6,5,7,7,9,7.5,8,8.5,8.5,11,10
3,受气牛肉弹子石老街店,0,0,0,0,4.5,5,6,6,6,6,6,6,6,6,7,6,6.5,7,6,6,6,6,7,9,9,7,7,6.5,7,10,14
4,受气牛肉南坪店,9,9,12,11,8,6,6,6.5,6,5.5,5,5,5.5,6,6,7,6,6,7,9,9.5,9,9,8,9,9,9,8,8,8,11
5,受气牛肉观音桥大融城店,0,0,0,0,0,0,0,4.5,5.5,6,6,6,5,6,6,6,8,7,6,6,6.5,8,9,9,9,8,8,4,8,10,11
6,受气牛肉三峡广场店,6,6,7,10,7.5,7,8,7,7,7,7,6,7,6,6,7,9,8.5,9,8,7,7,9,9,9,8,8,8,10,10,10
7,受气牛肉约克郡光环店,0,0,7,8,8,8,8,7,8,7,6,6,6,6,4,7.5,7.5,8,6,7,7,8,8.5,9,9,7,7,7,7,7,8
8,受气牛肉凤天路店,6,6,6,6,4,4,5,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,5,5,4,3,4,4,4,4,4
9,受气牛肉大学城店,0,0,0,0,0,0,0,0,5,6,6,4,4,3.5,4,4,7,6,5,5,6,6,6,6,7,6,6,6,6.5,7.5,9
10,受气牛肉融创文旅城店,4,5,6,5,5,5,5,5.5,5.5,5.5,6,5.5,4,4,0,0,0,0,0,6,6,6,6,6,6,5.5,6,6,6,6.5,8
11,受气牛肉来福士店,0,0,0,0,0,0,0,3.5,4,4,5,4,4,4,4,4,5,5,4,4,5,4.5,5.5,7,6.5,5,5,5,5,7,7
12,受气牛肉大坪老社区店,6,6,6,5,4.5,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4