序号,门店名称,1月1日,1月2日,1月3日,1月4日,1月5日,1月6日,1月7日,1月8日,1月9日,1月10日,1月11日,1月12日,1月13日,1月14日,1月15日,1月16日,1月17日,1月18日,1月19日,1月20日,1月21日,1月22日,1月23日,1月24日,1月25日,1月26日,1月27日,1月28日,1月29日,1月30日,1月31日,合计,平均
1,受气牛肉望京店,11,10,9.5,9,8.5,11,9,9,7,7,7,9,9,9,10,8,8,7,8,8,8,8,8,8,7.5,7.5,8,8,8,8,8,261 ,8 
2,受气牛肉弹子石老街店,14,14,7.5,7,8,10,13,10,8,8,12.5,13.5,15,13,13,13,14,11,9,9,10,11,12,13,13,13,13,8,9,10,15,350 ,11 
3,受气牛肉南坪店,10,10,10,10,9.5,11,12,11,11,12,11,11,11,11,11,8,8,7,7,8,9,9,9,9,9,9,9,7,8,8,10,296 ,10 
4,受气牛肉观音桥大融城店,11,11,8,9,10,10,11,11,10,10,9.5,10,11,11,11,10.5,11,10.5,10,10,7,8.5,8.5,9,9,10.5,10.5,10.5,10,9,11,309 ,10 
5,受气牛肉三峡广场店,11,11,9,8.5,8.5,9,10,10,7,8,8,8,9,10,9,9,7.5,8,8,8,9,9,10,10,10,10,10,8,8,7,8,276 ,9 
6,受气牛肉约克郡光环店,10,10,7,6,6,8,11,11,7,8,8,8,10,10,12,9,11,11,9,9,9,10.5,11,10,11,10,8,8,7.5,7.5,9,283 ,9 
7,受气牛肉凤天路店,4,4,3,3,3,4.5,4,3,3,3,3,3,4,4,4,3,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,108 ,3 
8,受气牛肉大学城店,9,9,6,6,5.5,8.5,8,8,8,7,7,7,8,9,9.5,7,9.5,9,8.5,9.5,10,10,9,10,8,8,8,7,7,7,8,251 ,8 
9,受气牛肉融创文旅城店,8,8,6,5.5,6,7,6,6,6,4,4,5,7,7,6,5,5,5,7,7,7,7,7,7,7,7,7,6.5,7,7,7.5,198 ,6 
10,受气牛肉来福士店,7,7,5,5,7,8,8,7,6,6,8,7.5,8.5,9.5,10,8,10,8,8,7,9,10,10,10,9,9,9,9,9,8,9,252 ,8 
11,受气牛肉大坪老社区店,4,4,4,4,4,3,4,4,3.5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3.5,3,4,112 ,4 